Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
24.11.2023;00:00;00:15;1,48;32,94;29,61;1,48;1,48;35,93;47;59,09;17,56;31,83;1,48;125,44;11,39;-;121,97;20,76;20,99
24.11.2023;00:15;00:30;1,48;32,94;29,61;1,48;1,48;35,93;47;59,09;17,56;31,83;1,48;125,44;11,39;-;121,97;20,76;20,99
24.11.2023;00:30;00:45;1,48;32,94;29,61;1,48;1,48;35,93;47;59,09;17,56;31,83;1,48;125,44;11,39;-;121,97;20,76;20,99
24.11.2023;00:45;01:00;1,48;32,94;29,61;1,48;1,48;35,93;47;59,09;17,56;31,83;1,48;125,44;11,39;-;121,97;20,76;20,99
24.11.2023;01:00;01:15;0,1;24,17;10,06;0,1;0,1;10,78;20,4;50,44;11,29;27,59;0,1;123,77;11,26;-;118;13,34;16,54
24.11.2023;01:15;01:30;0,1;24,17;10,06;0,1;0,1;10,78;20,4;50,44;11,29;27,59;0,1;123,77;11,26;-;118;13,34;16,54
24.11.2023;01:30;01:45;0,1;24,17;10,06;0,1;0,1;10,78;20,4;50,44;11,29;27,59;0,1;123,77;11,26;-;118;13,34;16,54
24.11.2023;01:45;02:00;0,1;24,17;10,06;0,1;0,1;10,78;20,4;50,44;11,29;27,59;0,1;123,77;11,26;-;118;13,34;16,54
24.11.2023;02:00;02:15;0,12;22,95;12,47;0,12;0,12;12,41;24,4;49,92;7,61;18,42;0,12;122,53;4,38;-;116,91;9,11;10,42
24.11.2023;02:15;02:30;0,12;22,95;12,47;0,12;0,12;12,41;24,4;49,92;7,61;18,42;0,12;122,53;4,38;-;116,91;9,11;10,42
24.11.2023;02:30;02:45;0,12;22,95;12,47;0,12;0,12;12,41;24,4;49,92;7,61;18,42;0,12;122,53;4,38;-;116,91;9,11;10,42
24.11.2023;02:45;03:00;0,12;22,95;12,47;0,12;0,12;12,41;24,4;49,92;7,61;18,42;0,12;122,53;4,38;-;116,91;9,11;10,42
24.11.2023;03:00;03:15;0,34;17,99;1,06;0,34;0,34;1,63;0,59;46,92;3,01;22,1;0,34;119,27;2,29;-;116,91;3,7;5,07
24.11.2023;03:15;03:30;0,34;17,99;1,06;0,34;0,34;1,63;0,59;46,92;3,01;22,1;0,34;119,27;2,29;-;116,91;3,7;5,07
24.11.2023;03:30;03:45;0,34;17,99;1,06;0,34;0,34;1,63;0,59;46,92;3,01;22,1;0,34;119,27;2,29;-;116,91;3,7;5,07
24.11.2023;03:45;04:00;0,34;17,99;1,06;0,34;0,34;1,63;0,59;46,92;3,01;22,1;0,34;119,27;2,29;-;116,91;3,7;5,07
24.11.2023;04:00;04:15;1,55;18,99;1,99;1,55;1,55;2,4;1,77;38,42;6,27;26,21;1,55;119,15;8;-;115,76;8,58;10,06
24.11.2023;04:15;04:30;1,55;18,99;1,99;1,55;1,55;2,4;1,77;38,42;6,27;26,21;1,55;119,15;8;-;115,76;8,58;10,06
24.11.2023;04:30;04:45;1,55;18,99;1,99;1,55;1,55;2,4;1,77;38,42;6,27;26,21;1,55;119,15;8;-;115,76;8,58;10,06
24.11.2023;04:45;05:00;1,55;18,99;1,99;1,55;1,55;2,4;1,77;38,42;6,27;26,21;1,55;119,15;8;-;115,76;8,58;10,06
24.11.2023;05:00;05:15;31,61;38,01;31,74;31,61;4,43;31,88;31,68;53,9;33,24;38,24;4,43;124,03;32,97;-;122,93;34,24;35,07
24.11.2023;05:15;05:30;31,61;38,01;31,74;31,61;4,43;31,88;31,68;53,9;33,24;38,24;4,43;124,03;32,97;-;122,93;34,24;35,07
24.11.2023;05:30;05:45;31,61;38,01;31,74;31,61;4,43;31,88;31,68;53,9;33,24;38,24;4,43;124,03;32,97;-;122,93;34,24;35,07
24.11.2023;05:45;06:00;31,61;38,01;31,74;31,61;4,43;31,88;31,68;53,9;33,24;38,24;4,43;124,03;32,97;-;122,93;34,24;35,07
24.11.2023;06:00;06:15;70,53;68,74;71,3;66,11;16,09;71,96;70,9;66,11;78,5;87,75;16,09;127,6;83,69;-;134,8;80,52;83,69
24.11.2023;06:15;06:30;70,53;68,74;71,3;66,11;16,09;71,96;70,9;66,11;78,5;87,75;16,09;127,6;83,69;-;134,8;80,52;83,69
24.11.2023;06:30;06:45;70,53;68,74;71,3;66,11;16,09;71,96;70,9;66,11;78,5;87,75;16,09;127,6;83,69;-;134,8;80,52;83,69
24.11.2023;06:45;07:00;70,53;68,74;71,3;66,11;16,09;71,96;70,9;66,11;78,5;87,75;16,09;127,6;83,69;-;134,8;80,52;83,69
24.11.2023;07:00;07:15;94,28;83,11;95,47;74,53;20,03;96,81;94,61;76,76;110,1;87,68;20,03;132,91;105,31;-;150;118,89;140,06
24.11.2023;07:15;07:30;94,28;83,11;95,47;74,53;20,03;96,81;94,61;76,76;110,1;87,68;20,03;132,91;105,31;-;150;118,89;140,06
24.11.2023;07:30;07:45;94,28;83,11;95,47;74,53;20,03;96,81;94,61;76,76;110,1;87,68;20,03;132,91;105,31;-;150;118,89;140,06
24.11.2023;07:45;08:00;94,28;83,11;95,47;74,53;20,03;96,81;94,61;76,76;110,1;87,68;20,03;132,91;105,31;-;150;118,89;140,06
24.11.2023;08:00;08:15;112,68;93,05;117,73;80,14;20,76;116,97;126,57;82,53;121,13;88,54;20,76;131,05;117,37;-;170;125,43;136,24
24.11.2023;08:15;08:30;112,68;93,05;117,73;80,14;20,76;116,97;126,57;82,53;121,13;88,54;20,76;131,05;117,37;-;170;125,43;136,24
24.11.2023;08:30;08:45;112,68;93,05;117,73;80,14;20,76;116,97;126,57;82,53;121,13;88,54;20,76;131,05;117,37;-;170;125,43;136,24
24.11.2023;08:45;09:00;112,68;93,05;117,73;80,14;20,76;116,97;126,57;82,53;121,13;88,54;20,76;131,05;117,37;-;170;125,43;136,24
24.11.2023;09:00;09:15;93,99;90,17;118,01;78,57;20,86;111;131,22;80,92;105,17;87,65;20,86;132,47;105,17;-;148,49;108,23;112,4
24.11.2023;09:15;09:30;93,99;90,17;118,01;78,57;20,86;111;131,22;80,92;105,17;87,65;20,86;132,47;105,17;-;148,49;108,23;112,4
24.11.2023;09:30;09:45;93,99;90,17;118,01;78,57;20,86;111;131,22;80,92;105,17;87,65;20,86;132,47;105,17;-;148,49;108,23;112,4
24.11.2023;09:45;10:00;93,99;90,17;118,01;78,57;20,86;111;131,22;80,92;105,17;87,65;20,86;132,47;105,17;-;148,49;108,23;112,4
24.11.2023;10:00;10:15;86,95;84,18;102,12;77,66;21,64;98,01;107,15;79,98;97,04;87,8;21,64;132,99;100;-;131,73;99,37;103,25
24.11.2023;10:15;10:30;86,95;84,18;102,12;77,66;21,64;98,01;107,15;79,98;97,04;87,8;21,64;132,99;100;-;131,73;99,37;103,25
24.11.2023;10:30;10:45;86,95;84,18;102,12;77,66;21,64;98,01;107,15;79,98;97,04;87,8;21,64;132,99;100;-;131,73;99,37;103,25
24.11.2023;10:45;11:00;86,95;84,18;102,12;77,66;21,64;98,01;107,15;79,98;97,04;87,8;21,64;132,99;100;-;131,73;99,37;103,25
